model_label	analysis	network	component	map_type	condition_contrast	covariates	n_participants	num_waves	num_points	group_input_volumes	group_input_complete	mask_exists	mask_voxels	mask_volume_mm3	design_con_valid	intercept_all_ones	covariate_columns_demeaned	design_matches_covariate_audit	max_abs_design_audit_delta	subject_order_matches_audit	image_list_matches_audit	c3_c4_test_last_covariate	complete	notes
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	delta_fd_mean,delta_blink_rate_per_min	27	3	27	27	true	true	39460	1065420.000000	true	true	false	false	3.27e-05	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	delta_fd_mean,delta_blink_rate_per_min	27	3	27	27	true	true	39460	1065420.000000	true	true	false	false	3.27e-05	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	delta_fd_mean,delta_mean_pupil_area	25	3	25	25	true	true	39460	1065420.000000	true	true	false	false	4.42e-05	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	delta_fd_mean,delta_mean_pupil_area	25	3	25	25	true	true	39460	1065420.000000	true	true	false	false	4.92e-05	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	denoised_dim-00_task-rest	auditory	0055	beta	rtpj-minus-sham	delta_fd_mean,delta_mean_pupil_area	27	3	27	27	true	true	39460	1065420.000000	true	true	false	false	0.000355	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	denoised_dim-20_task-rest	sensorimotor	0003	beta	rtpj-minus-sham	delta_fd_mean,delta_mean_pupil_area	27	3	27	27	true	true	39460	1065420.000000	true	true	false	false	0.000355	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	denoised_dim-20_task-rest	primary-visual-lateral-visual	0006	beta	both-minus-vlpfc	delta_fd_mean,delta_mean_pupil_area	24	3	24	24	true	true	39460	1065420.000000	true	true	false	false	0.000272	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	denoised_dim-20_task-rest	occipital-pole	0017	beta	both-minus-sham	delta_fd_mean,delta_mean_pupil_area	26	3	26	26	true	true	39460	1065420.000000	true	true	false	false	4.49e-05	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	both-minus-vlpfc	delta_fd_mean,delta_mean_pupil_area	24	3	24	24	true	true	39460	1065420.000000	true	true	false	false	0.000272	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	smith09_denoised	lateral-visual	0003	beta	rtpj-minus-vlpfc	delta_fd_mean,delta_mean_pupil_area	25	3	25	25	true	true	39460	1065420.000000	true	true	false	false	4.92e-05	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	smith09_denoised	dmn	0004	beta	rtpj-minus-vlpfc	delta_fd_mean,delta_mean_pupil_area	25	3	25	25	true	true	39460	1065420.000000	true	true	false	false	4.92e-05	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-sham	delta_fd_mean,delta_mean_pupil_area	26	3	26	26	true	true	39460	1065420.000000	true	true	false	false	4.49e-05	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	delta_fd_mean,delta_mean_pupil_area	26	3	26	26	true	true	39460	1065420.000000	true	true	false	false	4.61e-05	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
cov-fdmean-pupil	smith09_denoised	ecn	0008	beta	both-minus-rtpj	delta_fd_mean,delta_mean_pupil_area	26	3	26	26	true	true	39460	1065420.000000	true	true	false	false	4.61e-05	true	true	true	false	covariate_columns_demeaned,design_matches_covariate_audit
